date,mine_id,item_id,supplier_id,weather_state,next_day_stockout,predicted_stockout_proba_next_day,predicted_stockout_flag_next_day,decision_alert_level
2024-01-01,M01,I01,S04,cloudy,0,2.4375464e-05,0,low
2024-01-02,M01,I01,S04,cloudy,0,9.966652e-05,0,low
2024-01-03,M01,I01,S04,cloudy,0,7.8272984e-05,0,low
2024-01-04,M01,I01,S04,cloudy,0,0.00013413385,0,low
2024-01-05,M01,I01,S04,cloudy,0,0.0001576589,0,low
2024-01-06,M01,I01,S04,cloudy,0,2.7338563e-05,0,low
2024-01-07,M01,I01,S04,cloudy,0,0.00014034717,0,low
2024-01-08,M01,I01,S04,clear,0,0.0005792282,0,low
2024-01-09,M01,I01,S04,cloudy,0,0.0003387058,0,low
2024-01-10,M01,I01,S04,cloudy,0,0.00014196488,0,low
2024-01-11,M01,I01,S04,clear,0,0.0002026329,0,low
2024-01-12,M01,I01,S04,cloudy,0,0.00044752742,0,low
2024-01-13,M01,I01,S04,cloudy,0,0.00015439281,0,low
2024-01-14,M01,I01,S04,clear,0,6.178202e-05,0,low
2024-01-15,M01,I01,S04,cloudy,0,0.00024138764,0,low
2024-01-16,M01,I01,S04,clear,0,0.00015687117,0,low
2024-01-17,M01,I01,S04,white_wind,0,4.03035e-05,0,low
2024-01-18,M01,I01,S04,clear,0,0.00037512518,0,low
2024-01-19,M01,I01,S04,clear,0,6.428864e-05,0,low
2024-01-20,M01,I01,S04,cloudy,0,0.00013525161,0,low
2024-01-21,M01,I01,S04,clear,0,7.570402e-05,0,low
2024-01-22,M01,I01,S04,cloudy,0,0.00010408929,0,low
2024-01-23,M01,I01,S04,cloudy,0,0.00024991544,0,low
2024-01-24,M01,I01,S04,clear,0,7.0939874e-05,0,low
2024-01-25,M01,I01,S04,clear,0,0.0003374868,0,low
2024-01-26,M01,I01,S04,cloudy,0,5.299289e-05,0,low
2024-01-27,M01,I01,S04,cloudy,0,5.8454756e-05,0,low
2024-01-28,M01,I01,S04,clear,0,9.59818e-05,0,low
2024-01-29,M01,I01,S04,clear,0,0.00022067198,0,low
2024-01-30,M01,I01,S04,cloudy,0,6.213825e-05,0,low
2024-01-31,M01,I01,S04,clear,0,9.553072e-05,0,low
2024-02-01,M01,I01,S04,clear,0,4.835514e-05,0,low
2024-02-02,M01,I01,S04,clear,0,0.00021180659,0,low
2024-02-03,M01,I01,S04,clear,0,6.8910835e-05,0,low
2024-02-04,M01,I01,S04,clear,0,1.0794569e-05,0,low
2024-02-05,M01,I01,S04,clear,0,0.00036522147,0,low
2024-02-06,M01,I01,S04,clear,0,0.00032114066,0,low
2024-02-07,M01,I01,S04,clear,0,0.00023703111,0,low
2024-02-08,M01,I01,S04,clear,0,0.00021649305,0,low
2024-02-09,M01,I01,S04,clear,0,0.00017071074,0,low
2024-02-10,M01,I01,S04,clear,0,5.772911e-05,0,low
2024-02-11,M01,I01,S04,clear,0,0.00022850362,0,low
2024-02-12,M01,I01,S04,clear,0,0.00011511677,0,low
2024-02-13,M01,I01,S04,clear,0,8.2131766e-05,0,low
